IDENTIFIER	GSM1095883	GSM1095886	GSM1095877	GSM1095878	GSM1095879	GSM1095880	GSM1095881	GSM1095882	GSM1095884	GSM1095885	GSM1095876
MIR4640	3362.6	3414.9	3195.5	2989.7	3514.7	2032.7	5985	2660.4	3190.5	2786.8	3333.3
RFC2	400	252	393.5	107.5	319.8	328.8	358.4	448.9	417.8	308.8	568.8
HSPA6	70.9	70	79.8	146.1	101.5	169.9	79.4	49	88.7	39.9	87
PAX8	362.8	601.2	883.3	746.9	351.2	428.4	1242.7	871.6	454.7	530.7	466.8
GUCA1A	5	6.9	8.7	21.7	54.7	52.1	15.5	51	30.3	7.3	31.5
MIR5193	849	215.4	507.5	1099.4	610.8	758.5	343.6	232.8	1260.1	431.7	2135.3
THRA	230.6	187.9	215.7	126.8	432.1	445.1	1328.6	627.5	240.2	79.6	217.9
PTPN21	6.3	30.6	10.9	17.8	14.6	13.9	13.9	3.4	13.1	16.3	19
CCL5	9.9	265.5	62.9	319	16.5	97.6	509.2	198.3	217.7	23	547
CYP2E1	99.8	14.7	171.2	173.4	63.4	38.6	86.9	84.2	47.3	3.8	80.1
EPHB3	79.9	46.5	23.8	122.1	73.7	13.8	193.1	50.1	103	21	38.4
ESRRA	1036.5	2490.2	1548.8	1070.5	795.8	521.4	575.6	1473.9	1395.6	1250.6	547.9
CYP2A6	51.4	123	205.2	206.9	156.6	95.5	150.4	89.6	134.5	188.2	142.2
SCARB1	1094.2	2212.7	1889.6	647.5	1859.9	1162.5	1037.6	1319.1	1537.5	668.6	1186.6
TTLL12	3294	1633.8	2930.2	2501	2473.6	2302.8	2997.7	2815.1	3219.9	1395.4	1574.1
LOC101930489	14.1	52.4	29.3	116.8	9.7	14	12.4	15.7	30	111	102.6
WFDC2	90.7	27	41.5	53.8	66.2	40	92.8	66.3	11.1	10.2	70
MAPK1	253.9	154.4	89.7	448	203.1	78.3	262.3	188.3	152.7	215.6	112.6
MAPK1	10.2	133.5	100.5	313.8	93.9	156	148.8	79.2	196.7	148	132.6
ADAM32	20.6	164	24.5	193.1	125.2	42.3	62.2	61.8	6.8	4.8	79.5
SPATA17	54.2	52.1	60.6	10.1	82.8	80.3	93.1	37.8	105.3	8.7	10.3
PRR22	60.1	10.5	57.4	48.5	28.3	94.9	111.5	53.7	34.2	26.2	36.5
PRR22	503.8	131.7	88.7	206.7	256.7	356.6	216	168	140.8	108.6	226.7
PXK	290	84.7	215.9	166	605.8	176.4	359.5	59.7	92.3	82.9	151.2
PXK	265.3	172.1	99.7	92.6	308.4	127.2	314.8	216.5	111.4	263.1	122.7
VPS18	5.3	79.7	21.6	105	88.4	15.7	5.3	74.8	36.1	6	22.2
MSANTD3	283.5	296.3	397.7	260	312.4	352.7	691.9	421.8	493.2	454.2	280.5
SLC46A1	652.3	232.2	705.6	113.3	379.2	452.1	362.1	282.7	393	179.8	162.1
SLC46A1	511.8	231.8	489.2	598.1	499.9	686.6	255.4	316.5	290.6	272.4	309.8
TIMD4	68.6	35.3	14.2	11.2	39.8	18.1	63.9	50.8	76.4	18.3	3.7
SLC39A5	280.1	287.3	45.8	168.6	98.3	149.7	49.4	191.1	157.8	145.6	89.6
ZDHHC11B	239.2	809	467.4	1117.3	1290.4	3822.2	1595.2	1583.3	469.4	1197.5	357.1
ATP6V1E2	643.1	326.9	557.7	824.6	881.5	1069.2	519.4	451.5	1204.9	1073.2	622.6
AFG3L1P	85.6	565.9	337.6	904.3	1887.7	2215.3	345.7	879	342.1	444.7	1053.5
CILP2	4.5	3.3	6.3	1.9	32.9	2.9	7.5	7.3	3.1	43.1	9.7
CILP2	98.6	14.9	53.5	77.3	20.5	123.6	15.9	5.9	13.8	11.7	117.7
PIGX	865.1	1073.5	1331.2	794.1	1359.8	1227.2	328.8	1250.5	910.6	1829.9	669.2
TMEM196	9.6	9.9	84.4	100.9	70.3	37.8	29.2	45.8	20	18.2	17
SLC39A13	394	211.7	367	403.1	380.6	243.3	132.2	581.7	283.8	269.8	308.6
BEST4	12.6	21	7.4	13.9	130.2	60.6	2.8	8	9	12.9	47.1
AK9	9.1	196.2	68.1	126.1	9.7	161.6	58	193	193.7	378	161.7
CORO6	132.7	108.4	175.2	258.2	402.8	152.2	83.8	156.3	135	43.7	209.4
TMEM106A	58	4	84.5	29.9	46.3	151.7	216.5	28.4	18.1	51.5	236.9
TMEM106A	57.3	19.4	77.2	17.1	124.5	141.8	95.4	4.5	9.4	91	96.2
ALG10	335.1	135.5	29.3	178.5	16	49.7	21.6	69.7	129.4	155.1	60.3
ALG10	15.4	70.6	90.2	57.6	220.7	111.3	182.4	179.7	293.3	279.8	83.1
TTC39C	101.2	150.4	57.3	5.1	132.5	138.8	116.7	129.9	30.7	59.5	244.2
NEXN	82.6	239.4	77.3	175.6	73.1	326.7	63.3	4.1	98.2	30.6	91
C15orf40	683.5	931.6	770.8	1631.3	704.8	615.7	1463.9	1097.6	819.5	1103.9	839.8
RAX2	207.2	225	163.3	249	241.8	218.1	168.3	192.8	123.3	214.5	60
MFAP3	24.9	106.1	78.6	35	49.3	2.2	4.4	158.9	121	52.7	46.1
EYA3	101	88.3	81.8	5.3	58.1	52.4	140.6	111.2	64.5	67.4	88.6
GIMAP1	104	148	151.4	44.8	133.1	74.2	351.9	86.6	104.9	47.6	81.9
GIMAP1	178.9	451.3	276.9	116.1	205.6	82.4	959.5	61.5	163.2	101	160.3
GIMAP1	43.3	54.4	85.8	11.6	48.7	62.1	69	5.7	30.7	47.9	56.7
KLK8	64.9	27.8	18.2	8.2	5.8	33	12.4	6.2	65.1	16.8	12.3
CCDC65	29.1	38	23.3	12.6	58.5	22.9	55	44.9	10.6	2.5	19.3
CCDC65	2.2	3.3	7.8	8	65.3	47.5	16.4	5.2	20.5	12.9	34
FAM122C	21.8	3.5	22.2	36.4	4.6	47.8	29.5	22.2	1.1	1.3	22.8
FAM122C	181.5	140.7	72.1	96.9	111.5	222.9	33	59.4	3.7	115.1	214.4
CFAP53	24.9	2.9	58.8	94.1	34.3	1.6	131.2	65.4	22.4	9.4	21.3
CFAP53	265.7	80.8	151.1	236.9	447.1	121	1063.6	288.6	151.2	132.4	78.4
ARMCX4	4.8	79.4	38.5	120.4	185	210	162.5	65.3	10.7	76.6	698.3
RBBP6	826.4	658.5	302.2	912.5	645.1	704	884.6	522.9	311.5	364.5	738.9
CENPBD1	420.3	508.2	277.2	480.6	276.2	678.4	71.8	530.7	188	380.5	223.3
TRIOBP	25.4	69.5	344.5	48.7	45.6	79.4	300.4	42.1	76.6	78	383.9
TRIOBP	188.4	125.2	66	27.8	214.2	113.4	139.6	92.7	73.7	74.3	146.8
CATSPER1	44.3	64.3	16.1	80.1	127.2	57.8	128	18.2	110	117.3	4.2
HOXD4	6.7	23.8	134.3	565.7	363.2	104	4.2	5.5	47.9	48.7	98.1
GSC	6.8	6.3	6	4.7	10.6	5.7	3.8	4.5	4.6	4	6.8
SP7	76.9	5.1	45.1	72.2	64.6	74.8	14.4	4.7	37.9	14.3	30.2
PDE7A	35.7	26.2	196.2	115.8	387.7	366	6.9	68.5	144.1	66.8	332.8
CNOT7	110.4	107	76.2	123.2	57.2	116.8	250.6	131.8	61.2	89.1	151.7
CRYZL1	154.6	102.9	529.7	588.7	810.2	649.8	663.2	458.3	218.9	113	470.1
PRSS33	8.5	25.6	82.6	12.5	17.9	40.8	32.9	94.3	45.9	23.8	116.4
PRSS33	9.2	67.3	39.6	18.3	19.5	39	17.5	7.9	10.3	9.4	11.4
CBARP	21.2	25.5	31.2	15.9	18.4	30.6	15.2	37.2	21.2	22.6	18.3
CBARP	91.6	5.9	10	9.5	16.5	12.6	19.2	61.6	10.8	17.4	8.7
MCMDC2	136.8	53.3	17.6	39.9	110	80.2	101	55.8	42.4	118.5	27.7
TIRAP	103.2	231.3	185.9	104	161.1	183.4	206.9	41.9	126.3	141.4	156.1
LEAP2	695.4	214.8	187.4	777.4	466.7	892.6	27.7	516.1	233.9	364.8	451.6
MSI2	52.6	215.8	173.6	285.7	320	132.7	426.7	153.8	165.3	185.9	138.8
SCIN	69.2	849.6	245.5	117.6	64.1	82.7	104	135.8	333.8	90.8	271.5
SCIN	22.6	97.1	5.5	71.9	5.6	19.2	6.7	6.7	35	8.2	14.7
CTCFL	1.6	3.3	57.6	7.1	28.8	29.4	23.9	8.6	10	5.3	3.3
C4orf33	2.9	235.7	76.6	153.5	68.9	71.1	250.1	84.8	110.2	289.1	140.6
C4orf33	0.7	8.4	29.3	15.1	16.2	14.4	0.4	0.5	27.4	6.5	1.1
C4orf33	101.4	22.1	5.6	91.1	16	57.1	4.5	1.5	2.4	44.2	4.2
ZNF333	162.8	104.5	92.6	59.9	249.5	440.8	187.3	73.5	41.9	198.2	157.8
TVP23C	454.6	220.6	384.2	402.7	302.7	297.9	212.3	147.3	80.6	176.6	547.9
RDH10	5.9	51.4	30.4	142.9	1113	1507.1	11.8	18.9	90.3	82.3	110.3
RDH10	2.1	0.6	2.8	2.5	2.9	11.3	1.8	24.4	1	1.6	1.6
SRSF12	22	47.3	28.5	62.7	3.1	24.6	78.8	86.7	20.4	27.7	45.2
FAM71A	148.9	111.1	160.3	162.4	17.2	112.8	15.1	119.6	61.1	129.3	167.5
FAM71A	27.9	9.8	79	132.6	84.9	99	163.5	73.5	13.5	68.5	152.6
GAPT	15.8	85.5	16.4	30.4	39.4	2.7	74.5	2.8	28.5	18.9	63.2
FLJ30901	17.1	298.7	24.1	33.1	37.7	42.5	202.5	5	20	28.5	14.6
