IDENTIFIER	GSM1095883	GSM1095886	GSM1095877	GSM1095878	GSM1095879	GSM1095880	GSM1095881	GSM1095882	GSM1095884	GSM1095885
APC	787.8	783.3	508.8	635.1	603.3	535.8	686.2	677.5	516.9	919.9
ATM	41.7	6.6	26.5	80.7	34.2	133.1	75.9	4.4	10.2	32.5
BRAF	1440.4	2108.8	1061.8	868	1155.4	1438.9	2179.1	1065.3	999	14487.9
BRCA1	79.9	364.3	384.7	182.7	353.3	498.7	911	416.2	328.7	535.2
BRCA2	23	3.2	58.3	2.1	23.5	21.9	2.5	3.5	8.8	45.5
CHD1	1299.1	946.9	588.9	1135.2	1386.3	938.7	594.7	1070.7	82.4	875.4
GNAS-AS1	74.7	23.2	13.6	20.2	14.4	67.4	8.6	105.2	44.9	61.1
ISG15	455.2	11685.6	968.2	8783.9	414.9	7630.3	17259	11813.4	1009.4	441.2
KMT2D	40.6	1.9	82.5	49	11.9	30.8	11.7	8.9	11.8	4.4
MYC	5012.4	2449.9	2327.5	3745.1	2382.7	1218.8	1977.5	4913.6	3260.4	1374.3
PIK3CA	239.3	180.2	236.8	134.4	291	282.1	459.8	52	454.6	327.9
PIK3CB	2308.7	2341.6	4040.1	3848	3987.7	3738.5	2004.6	3553.1	3001.7	4471.4
PTEN	1424.4	1656.8	1729.7	1188.8	256.3	1595.2	1471.2	1637.1	2416.7	3078.1
RAF1	152.4	319.5	646.7	988.3	2248.6	731.3	326.9	647.3	218.4	255.9
RB1	2704.4	3149.6	1567.8	3025	2565.6	1861.8	1962.3	3355.1	1313.6	3976.5
RSPO2	39.5	3.9	3.5	14.1	1.6	10.7	6.7	12.5	3.5	7.5
SPOP	1720.9	1331.5	1805.3	1456.7	1256.4	1213	1907.2	1980	1985.4	988.1
TP53	779.7	784.5	490.4	207.5	548.6	364	377.3	426.8	594.8	333.3
